epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6607,1.47907,3.06308,1.66531,0.49742,0.46576,0.43848,0.25314,1.45675,2.825,1.74603,0.000332112,0.000332112,0.000332112
2,136.723,1.40811,2.34281,1.57129,0.4218,0.42148,0.38641,0.21123,1.6476,2.98061,1.80284,0.000658858,0.000658858,0.000658858
3,203.12,1.41011,2.14554,1.55328,0.54314,0.55084,0.55659,0.3389,1.47605,2.09184,1.65883,0.000979003,0.000979003,0.000979003
4,269.584,1.41373,1.99127,1.53652,0.58414,0.57807,0.61171,0.35983,1.43247,1.88006,1.61881,0.0009703,0.0009703,0.0009703
5,336.331,1.36919,1.84734,1.5061,0.65459,0.64027,0.67822,0.41886,1.33955,1.66541,1.5437,0.0009604,0.0009604,0.0009604
6,403.32,1.33904,1.72021,1.47707,0.62057,0.61314,0.66164,0.41726,1.30314,1.58462,1.51409,0.0009505,0.0009505,0.0009505
7,470.796,1.32689,1.66479,1.46484,0.65269,0.68964,0.71831,0.44518,1.3096,1.45748,1.51217,0.0009406,0.0009406,0.0009406
8,537.836,1.27313,1.55765,1.42113,0.60537,0.67732,0.69914,0.44377,1.30423,1.50014,1.50454,0.0009307,0.0009307,0.0009307
9,604.797,1.28026,1.53327,1.42268,0.6833,0.75048,0.75575,0.49032,1.2352,1.34389,1.42975,0.0009208,0.0009208,0.0009208
10,671.779,1.2497,1.48747,1.3956,0.72401,0.67755,0.76093,0.50442,1.22777,1.28663,1.41085,0.0009109,0.0009109,0.0009109
11,739.592,1.23529,1.42677,1.38347,0.689,0.74194,0.77756,0.51805,1.19227,1.2678,1.37364,0.000901,0.000901,0.000901
12,807.264,1.19631,1.36538,1.35658,0.72812,0.76114,0.79741,0.53074,1.20415,1.23707,1.39567,0.0008911,0.0008911,0.0008911
13,874.37,1.20229,1.3946,1.3616,0.76059,0.70518,0.78186,0.5259,1.21011,1.2229,1.39768,0.0008812,0.0008812,0.0008812
14,941.234,1.17299,1.33689,1.34623,0.77048,0.73054,0.80551,0.55219,1.18578,1.12922,1.36894,0.0008713,0.0008713,0.0008713
15,1008.53,1.18198,1.34069,1.35434,0.77114,0.75246,0.81176,0.54605,1.17548,1.1186,1.38907,0.0008614,0.0008614,0.0008614
16,1075.81,1.16088,1.31107,1.33436,0.72196,0.75905,0.79885,0.54534,1.14973,1.14862,1.36419,0.0008515,0.0008515,0.0008515
17,1142.87,1.14878,1.27967,1.32962,0.74173,0.74803,0.80611,0.55479,1.14904,1.14574,1.34876,0.0008416,0.0008416,0.0008416
18,1209.76,1.14015,1.25521,1.31695,0.77146,0.77621,0.82727,0.57356,1.10812,1.05731,1.31046,0.0008317,0.0008317,0.0008317
19,1276.97,1.14279,1.22565,1.3081,0.83524,0.75001,0.83082,0.57735,1.14888,1.05917,1.32566,0.0008218,0.0008218,0.0008218
20,1344.05,1.1129,1.22408,1.29665,0.77809,0.77894,0.82561,0.57314,1.1234,1.03892,1.32522,0.0008119,0.0008119,0.0008119
21,1410.89,1.10889,1.17121,1.28923,0.82502,0.78646,0.84071,0.58189,1.10591,1.02412,1.29972,0.000802,0.000802,0.000802
22,1477.95,1.09797,1.16898,1.28724,0.80868,0.79287,0.84062,0.59646,1.08162,0.97423,1.28812,0.0007921,0.0007921,0.0007921
23,1545.58,1.08542,1.14196,1.27267,0.78372,0.78367,0.82502,0.57772,1.12101,1.03798,1.30984,0.0007822,0.0007822,0.0007822
24,1612.68,1.06745,1.13506,1.2666,0.78094,0.78072,0.83488,0.57383,1.10071,1.03535,1.3034,0.0007723,0.0007723,0.0007723
25,1679.71,1.06861,1.13317,1.27628,0.76942,0.77462,0.83155,0.58006,1.11131,1.03937,1.29989,0.0007624,0.0007624,0.0007624
26,1746.75,1.06863,1.10764,1.25848,0.83574,0.75524,0.84713,0.60291,1.07052,0.97434,1.27168,0.0007525,0.0007525,0.0007525
27,1813.77,1.0591,1.0802,1.25327,0.77895,0.83444,0.85741,0.60166,1.085,0.95174,1.28187,0.0007426,0.0007426,0.0007426
28,1881.02,1.06953,1.1156,1.26479,0.82998,0.79881,0.85615,0.59926,1.08243,0.94244,1.28307,0.0007327,0.0007327,0.0007327
29,1948.42,1.0425,1.05778,1.24431,0.79981,0.82681,0.84342,0.5922,1.07393,0.96105,1.2723,0.0007228,0.0007228,0.0007228
30,2015.46,1.04613,1.07336,1.24576,0.8255,0.7713,0.85486,0.60779,1.0544,0.93807,1.25593,0.0007129,0.0007129,0.0007129
31,2082.46,1.04486,1.0311,1.2475,0.83825,0.79337,0.85485,0.60607,1.05584,0.9327,1.26159,0.000703,0.000703,0.000703
32,2149.53,1.02945,1.04088,1.23626,0.77621,0.8398,0.86483,0.6132,1.06258,0.89605,1.26818,0.0006931,0.0006931,0.0006931
33,2216.64,1.00852,1.01302,1.22066,0.8529,0.78958,0.86728,0.62029,1.03614,0.87745,1.23343,0.0006832,0.0006832,0.0006832
34,2283.67,1.02663,1.01412,1.2263,0.8344,0.81093,0.87339,0.64014,1.03018,0.87157,1.23564,0.0006733,0.0006733,0.0006733
35,2350.96,0.99455,0.99254,1.21411,0.84009,0.79858,0.8747,0.63743,1.01748,0.89031,1.22705,0.0006634,0.0006634,0.0006634
36,2417.87,1.0036,0.99285,1.22205,0.85387,0.82297,0.88166,0.6279,1.05875,0.86874,1.26401,0.0006535,0.0006535,0.0006535
37,2484.9,0.98609,0.96321,1.2075,0.87165,0.81555,0.87776,0.64274,1.00048,0.84851,1.21492,0.0006436,0.0006436,0.0006436
38,2552.08,0.98842,0.97811,1.21516,0.82164,0.87818,0.89488,0.6526,0.988,0.81525,1.21334,0.0006337,0.0006337,0.0006337
39,2619.05,0.97949,0.95777,1.20284,0.8044,0.85906,0.88547,0.648,0.99664,0.81075,1.20445,0.0006238,0.0006238,0.0006238
40,2685.82,0.97097,0.94224,1.19979,0.84717,0.82626,0.8787,0.64702,0.99617,0.81594,1.21335,0.0006139,0.0006139,0.0006139
41,2752.89,0.97288,0.9472,1.20502,0.81903,0.85913,0.88512,0.6423,1.02035,0.80726,1.22894,0.000604,0.000604,0.000604
42,2820.09,0.96692,0.92223,1.1882,0.85797,0.83758,0.8985,0.66238,1.00231,0.77594,1.22192,0.0005941,0.0005941,0.0005941
43,2887.2,0.96202,0.92076,1.19345,0.86327,0.83528,0.89363,0.66157,0.98241,0.79489,1.20855,0.0005842,0.0005842,0.0005842
44,2954.48,0.95116,0.90758,1.18401,0.84638,0.84159,0.89562,0.67158,0.96573,0.78251,1.18822,0.0005743,0.0005743,0.0005743
45,3021.63,0.94852,0.92615,1.19122,0.85761,0.82874,0.89522,0.6668,0.97478,0.7799,1.19799,0.0005644,0.0005644,0.0005644
46,3088.61,0.93691,0.88899,1.1783,0.83469,0.82839,0.87812,0.64114,0.99479,0.82067,1.20704,0.0005545,0.0005545,0.0005545
47,3155.61,0.93286,0.86748,1.16657,0.84436,0.85319,0.89491,0.66694,0.96388,0.77559,1.19108,0.0005446,0.0005446,0.0005446
48,3222.53,0.93115,0.87558,1.16604,0.82204,0.86865,0.89299,0.66066,0.95784,0.78034,1.18888,0.0005347,0.0005347,0.0005347
49,3289.73,0.91922,0.85165,1.16637,0.83074,0.84944,0.88422,0.65765,0.98359,0.80688,1.19858,0.0005248,0.0005248,0.0005248
50,3356.77,0.91778,0.87702,1.16276,0.82805,0.88381,0.90273,0.67466,0.97382,0.7574,1.19043,0.0005149,0.0005149,0.0005149
51,3423.95,0.91882,0.84892,1.15704,0.86095,0.86223,0.90663,0.66953,0.97444,0.75302,1.19831,0.000505,0.000505,0.000505
52,3491.11,0.92148,0.8461,1.17261,0.85688,0.85662,0.90398,0.6692,0.98936,0.75304,1.19687,0.0004951,0.0004951,0.0004951
53,3558.09,0.89738,0.83656,1.15039,0.84232,0.85926,0.89887,0.65595,1.00157,0.76708,1.20642,0.0004852,0.0004852,0.0004852
54,3625.21,0.89903,0.8201,1.15233,0.86336,0.83671,0.89671,0.67033,0.96866,0.74215,1.18524,0.0004753,0.0004753,0.0004753
55,3756.63,0.90628,0.83565,1.1539,0.87491,0.86226,0.91094,0.67529,0.9794,0.73835,1.19113,0.0004654,0.0004654,0.0004654
56,3822.79,0.90399,0.8149,1.15653,0.87336,0.85731,0.90548,0.67967,0.96282,0.72533,1.18819,0.0004555,0.0004555,0.0004555
57,3892.07,0.89011,0.82256,1.15089,0.85608,0.87938,0.91402,0.68726,0.93345,0.70765,1.1646,0.0004456,0.0004456,0.0004456
58,3958.9,0.89251,0.80673,1.14537,0.8325,0.91287,0.91156,0.67953,0.94587,0.70047,1.17889,0.0004357,0.0004357,0.0004357
59,4025.73,0.8788,0.80647,1.14349,0.86715,0.88008,0.91554,0.68649,0.95373,0.68281,1.18134,0.0004258,0.0004258,0.0004258
60,4153.02,0.87067,0.77923,1.13291,0.85222,0.86466,0.9159,0.68939,0.93573,0.70454,1.16786,0.0004159,0.0004159,0.0004159
61,4219.13,0.86383,0.77426,1.13184,0.85445,0.86821,0.91311,0.69116,0.93427,0.70065,1.16697,0.000406,0.000406,0.000406
62,4286.09,0.86783,0.7754,1.13411,0.85639,0.88799,0.91808,0.68771,0.93792,0.69785,1.16505,0.0003961,0.0003961,0.0003961
63,4352.94,0.85727,0.75677,1.12456,0.86424,0.89188,0.91906,0.69223,0.94215,0.6875,1.16443,0.0003862,0.0003862,0.0003862
64,4419.64,0.86671,0.75934,1.13191,0.87049,0.86244,0.92357,0.69999,0.93345,0.69382,1.16361,0.0003763,0.0003763,0.0003763
65,4486.56,0.85991,0.74664,1.12023,0.89902,0.87289,0.92481,0.69012,0.94298,0.68376,1.17047,0.0003664,0.0003664,0.0003664
66,4553.59,0.84751,0.74736,1.12014,0.88842,0.87118,0.91162,0.69117,0.92658,0.68028,1.16543,0.0003565,0.0003565,0.0003565
